Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.453
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.2878691233527017E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
1.54053,0.555573,-0.671482E-01
1.54297,0.556453,0.134195
1.54541,0.557333,-0.108694
1.54785,0.558214,0.587817E-01
1.55029,0.559094,0.470990
1.55273,0.559975,0.525941E-01
1.55518,0.560855,-0.193507
1.55762,0.561736,0.181728
1.56006,0.562616,0.167498E-01
1.56250,0.563497,0.723086E-01
1.56494,0.564377,-0.495276E-01
1.56738,0.565258,-0.120707E-01
1.56982,0.566138,0.228614E-01
1.57227,0.567019,0.378337
1.57471,0.567899,-0.393747E-01
1.57715,0.568779,-0.488298E-01
1.57959,0.569660,0.619330
1.58203,0.570540,0.204454
1.58447,0.571421,0.242857
1.58691,0.572301,0.237040
1.58936,0.573182,0.296257
1.59180,0.574062,1.20161
1.59424,0.574943,0.238814
1.59668,0.575823,0.617445
1.59912,0.576704,0.260903
1.60156,0.577584,0.325810
1.60400,0.578465,0.232166
1.60645,0.579345,0.302983
1.60889,0.580226,0.306798
1.61133,0.581106,0.350185E-01
1.61377,0.581986,0.636467
1.61621,0.582867,0.171094E-01
1.61865,0.583747,0.193350E-01
1.62109,0.584628,0.476151
1.62354,0.585508,-0.329927E-01
1.62598,0.586389,0.726833
1.62842,0.587269,-0.631247E-01
1.63086,0.588150,0.188951
1.63330,0.589030,0.824257E-01
1.63574,0.589911,1.14359
1.63818,0.590791,-0.254723E-01
1.64062,0.591672,-0.113267
1.64307,0.592552,0.161617
1.64551,0.593432,0.426390
1.64795,0.594313,0.962230E-01
1.65039,0.595193,0.509598E-01
1.65283,0.596074,0.896183E-01
1.65527,0.596954,0.402599
1.65771,0.597835,0.286836
1.66016,0.598715,-0.188678
1.66260,0.599596,0.165623
1.66504,0.600476,-0.284848
1.66748,0.601357,-0.161625E-01
1.66992,0.602237,0.141257
1.67236,0.603118,0.437581
1.67480,0.603998,0.292308
1.67725,0.604878,0.233602
1.67969,0.605759,0.355373E-01
1.68213,0.606639,0.525188E-01
1.68457,0.607520,-0.737530E-01
1.68701,0.608400,0.148264E-01
1.68945,0.609281,0.809318E-01
1.69189,0.610161,1.32146
1.69434,0.611042,-0.242422
1.69678,0.611922,0.484602E-01
1.69922,0.612803,-0.308214E-01
1.70166,0.613683,-0.146147
1.70410,0.614564,-0.307537E-01
1.70654,0.615444,0.193789
1.70898,0.616325,0.638303
1.71143,0.617205,0.126536
